lot_number,sku_id,supplier_name,test_date,delta_p_mbar,test_temp_c,lot_age_days,el_measurement,el_compound,scn_reference,scn_impact_score,coa_complete,result
SAR-0028,Flexsafe-STR-50L,Sartorius Stedim,2024-03-25,1.888,21.2,47,0.2299,DEHP,,,True,PASS
CYT-0029,Xcellerex-200L,Cytiva,2024-03-28,1.523,18.8,84,0.1867,BHT,,,True,PASS
PAL-0030,Allegro-TFF-1m2,Pall Corporation,2024-03-31,1.629,20.4,50,0.2066,Irganox-1076,,,True,PASS
SAR-0031,Flexsafe-STR-200L,Sartorius Stedim,2024-04-03,1.51,19.2,18,0.1678,DEHP,,,True,PASS
CYT-0032,Xcellerex-2000L,Cytiva,2024-04-05,2.295,20.6,61,0.2046,BHT,,,True,PASS
PAL-0033,Allegro-3D-50L,Pall Corporation,2024-04-10,1.53,19.9,26,0.2332,Irganox-1076,,,True,PASS
SAR-0034,Flexsafe-STR-50L,Sartorius Stedim,2024-04-12,1.547,21.2,74,0.1896,DEHP,,,True,PASS
CYT-0035,Xcellerex-200L,Cytiva,2024-04-16,1.617,20.9,28,0.1686,BHT,,,True,PASS
PAL-0036,Allegro-TFF-1m2,Pall Corporation,2024-04-19,1.848,21.8,89,0.184,Irganox-1076,,,True,PASS
SAR-0037,Flexsafe-STR-200L,Sartorius Stedim,2024-04-20,2.166,20.7,50,0.1697,DEHP,,,True,PASS
CYT-0038,Xcellerex-2000L,Cytiva,2024-04-25,2.23,20.6,14,0.1494,BHT,,,True,PASS
PAL-0039,Allegro-3D-50L,Pall Corporation,2024-04-26,2.283,20.4,17,0.1704,Irganox-1076,,,True,PASS
SAR-0040,Flexsafe-STR-50L,Sartorius Stedim,2024-05-01,2.194,19.8,79,0.1961,DEHP,,,True,PASS
CYT-0041,Xcellerex-200L,Cytiva,2024-05-03,1.754,20.8,48,0.2152,BHT,,,True,PASS
PAL-0042,Allegro-TFF-1m2,Pall Corporation,2024-05-05,1.226,20.5,63,0.1589,Irganox-1076,,,True,PASS
SAR-0043,Flexsafe-STR-200L,Sartorius Stedim,2024-05-09,1.706,21.2,23,0.1468,DEHP,,,True,PASS
CYT-0044,Xcellerex-2000L,Cytiva,2024-05-12,1.937,20.1,17,0.1718,BHT,,,True,PASS
PAL-0045,Allegro-3D-50L,Pall Corporation,2024-05-15,2.174,20.4,62,0.1626,Irganox-1076,,,False,PASS
SAR-0046,Flexsafe-STR-50L,Sartorius Stedim,2024-05-18,1.849,19.6,53,0.1823,DEHP,,,True,PASS
CYT-0047,Xcellerex-200L,Cytiva,2024-05-20,2.326,19.8,87,0.1728,BHT,,,True,PASS
PAL-0048,Allegro-TFF-1m2,Pall Corporation,2024-05-24,1.888,21.5,72,0.1618,Irganox-1076,,,True,PASS
SAR-0049,Flexsafe-STR-200L,Sartorius Stedim,2024-05-27,1.754,19.7,26,0.1668,DEHP,,,True,PASS
CYT-0050,Xcellerex-2000L,Cytiva,2024-05-31,1.774,19.1,42,0.1433,BHT,,,True,PASS
PAL-0051,Allegro-3D-50L,Pall Corporation,2024-06-01,1.493,22.0,26,0.2526,Irganox-1076,,,True,PASS
SAR-0052,Flexsafe-STR-50L,Sartorius Stedim,2024-06-05,1.896,21.9,56,0.1553,DEHP,,,True,PASS
CYT-0053,Xcellerex-200L,Cytiva,2024-06-09,1.922,20.2,83,0.1767,BHT,,,True,PASS
PAL-0054,Allegro-TFF-1m2,Pall Corporation,2024-06-11,1.725,20.7,8,0.1661,Irganox-1076,,,True,PASS
SAR-0055,Flexsafe-STR-200L,Sartorius Stedim,2024-06-14,1.844,20.8,63,0.1813,DEHP,,,True,PASS
CYT-0056,Xcellerex-2000L,Cytiva,2024-06-18,1.889,20.4,77,0.2323,BHT,,,True,PASS
PAL-0057,Allegro-3D-50L,Pall Corporation,2024-06-21,1.586,19.6,41,0.2098,Irganox-1076,,,True,PASS
SAR-0058,Flexsafe-STR-50L,Sartorius Stedim,2024-06-23,1.312,21.2,83,0.1914,DEHP,,,True,PASS
CYT-0059,Xcellerex-200L,Cytiva,2024-06-25,1.874,20.5,73,0.1727,BHT,,,True,PASS
PAL-0060,Allegro-TFF-1m2,Pall Corporation,2024-06-30,1.843,21.7,51,0.1158,Irganox-1076,,,True,PASS
SAR-0061,Flexsafe-STR-200L,Sartorius Stedim,2024-07-03,1.883,20.2,60,0.1361,DEHP,,,True,PASS
CYT-0062,Xcellerex-2000L,Cytiva,2024-07-05,1.371,21.2,26,0.1718,BHT,,,True,PASS
PAL-0063,Allegro-3D-50L,Pall Corporation,2024-07-07,1.706,21.5,63,0.1946,Irganox-1076,,,True,PASS
SAR-0064,Flexsafe-STR-50L,Sartorius Stedim,2024-07-12,1.923,21.9,34,0.191,DEHP,,,True,PASS
CYT-0065,Xcellerex-200L,Cytiva,2024-07-14,1.819,19.9,51,0.2047,BHT,,,True,PASS
PAL-0066,Allegro-TFF-1m2,Pall Corporation,2024-07-17,1.747,21.4,64,0.1988,Irganox-1076,,,True,PASS
SAR-0067,Flexsafe-STR-200L,Sartorius Stedim,2024-07-20,1.36,20.4,14,0.1507,DEHP,,,True,PASS
CYT-0068,Xcellerex-2000L,Cytiva,2024-07-23,1.979,19.9,56,0.1547,BHT,,,True,PASS
PAL-0069,Allegro-3D-50L,Pall Corporation,2024-07-27,1.612,20.7,55,0.2089,Irganox-1076,,,True,PASS
SAR-0070,Flexsafe-STR-50L,Sartorius Stedim,2024-07-29,1.885,20.6,45,0.1903,DEHP,,,True,PASS
CYT-0071,Xcellerex-200L,Cytiva,2024-07-31,1.634,21.0,56,0.1405,BHT,,,True,PASS
PAL-0072,Allegro-TFF-1m2,Pall Corporation,2024-08-04,2.037,20.0,61,0.2003,Irganox-1076,,,True,PASS
SAR-0073,Flexsafe-STR-200L,Sartorius Stedim,2024-08-08,1.866,20.7,81,0.1584,DEHP,,,True,PASS
CYT-0074,Xcellerex-2000L,Cytiva,2024-08-09,1.907,21.3,20,0.1535,BHT,,,True,PASS
PAL-0075,Allegro-3D-50L,Pall Corporation,2024-08-12,1.592,19.8,67,0.1851,Irganox-1076,,,True,PASS
SAR-0076,Flexsafe-STR-50L,Sartorius Stedim,2024-08-15,2.172,21.2,38,0.201,DEHP,,,True,PASS
CYT-0077,Xcellerex-200L,Cytiva,2024-08-18,1.743,18.9,77,0.2201,BHT,,,True,PASS
PAL-0078,Allegro-TFF-1m2,Pall Corporation,2024-08-22,2.167,19.2,8,0.1487,Irganox-1076,,,True,PASS
SAR-0079,Flexsafe-STR-200L,Sartorius Stedim,2024-08-24,1.923,20.9,43,0.1869,DEHP,,,True,PASS
CYT-0080,Xcellerex-2000L,Cytiva,2024-08-28,1.815,20.1,89,0.1915,BHT,,,True,PASS
PAL-0081,Allegro-3D-50L,Pall Corporation,2024-08-31,1.615,20.6,89,0.199,Irganox-1076,,,True,PASS
SAR-0082,Flexsafe-STR-50L,Sartorius Stedim,2024-09-04,1.603,20.4,9,0.1849,DEHP,,,True,PASS
CYT-0083,Xcellerex-200L,Cytiva,2024-09-05,1.946,20.3,82,0.1771,BHT,,,True,PASS
PAL-0084,Allegro-TFF-1m2,Pall Corporation,2024-09-10,1.437,19.3,57,0.1217,Irganox-1076,,,True,PASS
SAR-0085,Flexsafe-STR-200L,Sartorius Stedim,2024-09-13,1.72,20.7,73,0.2072,DEHP,,,True,PASS
CYT-0086,Xcellerex-2000L,Cytiva,2024-09-15,1.585,21.6,10,0.1823,BHT,,,True,PASS
PAL-0087,Allegro-3D-50L,Pall Corporation,2024-09-18,1.385,19.8,19,0.171,Irganox-1076,,,True,PASS
SAR-0088,Flexsafe-STR-50L,Sartorius Stedim,2024-09-21,1.413,20.8,88,0.154,DEHP,,,True,PASS
CYT-0089,Xcellerex-200L,Cytiva,2024-09-23,1.287,21.2,80,0.1649,BHT,,,True,PASS
PAL-0090,Allegro-TFF-1m2,Pall Corporation,2024-09-27,1.617,20.8,88,0.1753,Irganox-1076,,,True,PASS
SAR-0091,Flexsafe-STR-200L,Sartorius Stedim,2024-09-30,2.17,20.2,19,0.1431,DEHP,,,True,PASS
CYT-0092,Xcellerex-2000L,Cytiva,2024-10-02,2.112,20.8,60,0.1767,BHT,,,True,PASS
PAL-0093,Allegro-3D-50L,Pall Corporation,2024-10-07,2.382,20.6,46,0.184,Irganox-1076,,,True,PASS
SAR-0094,Flexsafe-STR-50L,Sartorius Stedim,2024-10-09,1.893,20.5,42,0.1878,DEHP,,,True,PASS
CYT-0095,Xcellerex-200L,Cytiva,2024-10-13,1.46,19.6,25,0.3755,BHT,SCN-CYT-2025-0114,4.0,True,PASS
PAL-0096,Allegro-TFF-1m2,Pall Corporation,2024-10-15,2.11,19.7,46,0.1887,Irganox-1076,,,True,PASS
SAR-0097,Flexsafe-STR-200L,Sartorius Stedim,2024-10-18,1.852,21.0,60,0.1715,DEHP,,,True,PASS
CYT-0098,Xcellerex-2000L,Cytiva,2024-10-20,2.639,22.6,42,0.4136,BHT,,,True,PASS
PAL-0099,Allegro-3D-50L,Pall Corporation,2024-10-24,1.963,20.5,80,0.1757,Irganox-1076,,,True,PASS
SAR-0100,Flexsafe-STR-50L,Sartorius Stedim,2024-10-26,1.562,21.0,33,0.2071,DEHP,,,True,PASS
CYT-0101,Xcellerex-200L,Cytiva,2024-10-29,2.922,20.3,30,0.4524,BHT,,,True,PASS
PAL-0102,Allegro-TFF-1m2,Pall Corporation,2024-11-03,1.243,19.3,8,0.2141,Irganox-1076,,,True,PASS
SAR-0103,Flexsafe-STR-200L,Sartorius Stedim,2024-11-04,1.379,18.1,56,0.1664,DEHP,,,True,PASS
CYT-0104,Xcellerex-2000L,Cytiva,2024-11-08,2.4,20.9,71,0.411,BHT,,,True,PASS
PAL-0105,Allegro-3D-50L,Pall Corporation,2024-11-12,1.776,21.1,60,0.1886,Irganox-1076,,,True,PASS
SAR-0106,Flexsafe-STR-50L,Sartorius Stedim,2024-11-15,2.051,21.8,20,0.1557,DEHP,,,True,PASS
CYT-0107,Xcellerex-200L,Cytiva,2024-11-18,2.639,21.6,89,0.4599,BHT,,,True,PASS
PAL-0108,Allegro-TFF-1m2,Pall Corporation,2024-11-21,1.872,21.8,69,0.171,Irganox-1076,,,True,PASS
SAR-0109,Flexsafe-STR-200L,Sartorius Stedim,2024-11-22,1.927,19.2,82,0.1959,DEHP,,,True,PASS
CYT-0110,Xcellerex-2000L,Cytiva,2024-11-27,1.463,19.9,55,0.4498,BHT,,,True,PASS
PAL-0111,Allegro-3D-50L,Pall Corporation,2024-11-30,1.75,20.3,59,0.176,Irganox-1076,,,True,PASS
SAR-0112,Flexsafe-STR-50L,Sartorius Stedim,2024-12-03,1.998,21.0,37,0.1896,DEHP,,,True,PASS
CYT-0113,Xcellerex-200L,Cytiva,2024-12-05,3.935,20.4,70,0.5053,BHT,,,True,FAIL
PAL-0114,Allegro-TFF-1m2,Pall Corporation,2024-12-07,1.452,19.8,77,0.1782,Irganox-1076,,,True,PASS
SAR-0115,Flexsafe-STR-200L,Sartorius Stedim,2024-12-11,1.586,21.2,59,0.1985,DEHP,,,False,PASS
CYT-0116,Xcellerex-2000L,Cytiva,2024-12-14,3.154,20.7,83,0.4978,BHT,,,False,PASS
PAL-0117,Allegro-3D-50L,Pall Corporation,2024-12-17,1.548,20.7,30,0.1436,Irganox-1076,,,True,PASS
SAR-0118,Flexsafe-STR-50L,Sartorius Stedim,2024-12-21,1.729,20.8,46,0.1198,DEHP,,,True,PASS
CYT-0119,Xcellerex-200L,Cytiva,2024-12-23,2.298,21.1,71,0.6049,BHT,,,True,PASS
PAL-0120,Allegro-TFF-1m2,Pall Corporation,2024-12-26,1.866,21.8,52,0.1494,Irganox-1076,,,True,PASS
SAR-0121,Flexsafe-STR-200L,Sartorius Stedim,2024-12-30,1.338,19.5,67,0.1694,DEHP,,,True,PASS
CYT-0122,Xcellerex-2000L,Cytiva,2025-01-02,3.057,19.1,88,0.5889,BHT,,,True,PASS
PAL-0123,Allegro-3D-50L,Pall Corporation,2025-01-04,1.624,20.0,14,0.1935,Irganox-1076,,,True,PASS
SAR-0124,Flexsafe-STR-50L,Sartorius Stedim,2025-01-06,1.328,20.9,10,0.1541,DEHP,,,True,PASS
CYT-0125,Xcellerex-200L,Cytiva,2025-01-11,3.205,19.9,66,0.5649,BHT,,,True,PASS
PAL-0126,Allegro-TFF-1m2,Pall Corporation,2025-01-13,1.628,21.7,11,0.169,Irganox-1076,,,False,PASS
SAR-0127,Flexsafe-STR-200L,Sartorius Stedim,2025-01-17,1.626,20.9,49,0.1667,DEHP,,,True,PASS
CYT-0128,Xcellerex-2000L,Cytiva,2025-01-19,2.424,18.6,62,0.6583,BHT,,,True,PASS
PAL-0129,Allegro-3D-50L,Pall Corporation,2025-01-23,1.258,20.3,31,0.1728,Irganox-1076,,,True,PASS
SAR-0130,Flexsafe-STR-50L,Sartorius Stedim,2025-01-26,1.962,20.9,22,0.1426,DEHP,,,True,PASS
CYT-0131,Xcellerex-200L,Cytiva,2025-01-28,3.127,20.2,89,0.6354,BHT,,,True,PASS
PAL-0132,Allegro-TFF-1m2,Pall Corporation,2025-01-30,1.444,19.1,89,0.1841,Irganox-1076,,,True,PASS
SAR-0133,Flexsafe-STR-200L,Sartorius Stedim,2025-02-02,1.751,21.8,48,0.1524,DEHP,,,True,PASS
CYT-0134,Xcellerex-2000L,Cytiva,2025-02-06,2.59,20.6,8,0.6903,BHT,,,True,PASS
PAL-0135,Allegro-3D-50L,Pall Corporation,2025-02-10,1.795,19.8,86,0.1714,Irganox-1076,,,True,PASS
SAR-0136,Flexsafe-STR-50L,Sartorius Stedim,2025-02-12,1.348,20.9,26,0.1669,DEHP,,,True,PASS
CYT-0137,Xcellerex-200L,Cytiva,2025-02-14,3.254,19.9,56,0.6481,BHT,,,True,PASS
PAL-0138,Allegro-TFF-1m2,Pall Corporation,2025-02-17,2.467,20.8,19,0.1897,Irganox-1076,,,True,PASS
SAR-0139,Flexsafe-STR-200L,Sartorius Stedim,2025-02-21,1.975,21.5,43,0.167,DEHP,,,True,PASS
CYT-0140,Xcellerex-2000L,Cytiva,2025-02-25,2.901,20.1,81,0.7218,BHT,,,True,PASS
PAL-0141,Allegro-3D-50L,Pall Corporation,2025-02-27,1.681,20.8,61,0.1739,Irganox-1076,,,True,PASS
SAR-0142,Flexsafe-STR-50L,Sartorius Stedim,2025-03-03,1.569,19.9,86,0.122,DEHP,,,True,PASS
CYT-0143,Xcellerex-200L,Cytiva,2025-03-06,3.065,21.4,44,0.7169,BHT,,,True,PASS
PAL-0144,Allegro-TFF-1m2,Pall Corporation,2025-03-08,2.094,19.7,38,0.1572,Irganox-1076,,,True,PASS
SAR-0145,Flexsafe-STR-200L,Sartorius Stedim,2025-03-11,1.981,20.5,39,0.1975,DEHP,,,True,PASS
CYT-0146,Xcellerex-2000L,Cytiva,2025-03-13,3.096,19.5,7,0.7049,BHT,,,True,PASS
PAL-0147,Allegro-3D-50L,Pall Corporation,2025-03-17,1.514,20.4,71,0.2082,Irganox-1076,,,True,PASS
SAR-0148,Flexsafe-STR-50L,Sartorius Stedim,2025-03-21,1.542,21.7,46,0.1871,DEHP,,,True,PASS
CYT-0149,Xcellerex-200L,Cytiva,2025-03-23,2.632,20.9,11,0.7665,BHT,,,True,PASS
PAL-0150,Allegro-TFF-1m2,Pall Corporation,2025-03-25,1.878,20.6,18,0.1994,Irganox-1076,,,True,PASS
